,close,returns,vol,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_5,vol_lag_10,vol_lag_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,vol_roll_mean_5,vol_roll_std_5,vol_roll_mean_10,vol_roll_std_10,vol_roll_mean_20,vol_roll_std_20,vol_roll_mean_60,vol_roll_std_60,rsi_14,volume_zscore,day_of_week,month,quarter,week_of_month,target
2019-06-18,1890.7574462890625,0.0007338933380782,0.2066771881410742,0.2185050150468174,0.2204821024914255,0.2202123736821792,0.231778264436017,0.2158974696224853,0.2319383725112403,-0.0023510074641296,0.0001774818300317,-0.0030076024023283,0.0095449764654451,0.22196614599036243,0.005550383685343801,0.22434643985382752,0.006109207732277779,0.22812984039829315,0.008882938507893168,0.24628281328895418,0.03447405884456499,79.9799205346468,-1.0144138778281355,1,6,2,3,0.1942760484569656
2019-06-19,1898.3592529296875,0.0040205086355973,0.1942760484569656,0.2066771881410742,0.2185050150468174,0.2204821024914255,0.2188529742953731,0.2274618726633388,0.2367514024755618,0.0007338933380782,-0.0023510074641296,0.0001774818300317,0.0035953548920455,0.21694593073137386,0.005802775062652696,0.22342441170568642,0.007945772958022592,0.22686678117978482,0.010034231762977698,0.24498205871092332,0.034471472951328706,78.97396111770306,-1.1597064693913595,2,6,2,3,0.1836941606563996
2019-06-20,1913.521240234375,0.0079868904061697,0.1836941606563996,0.1942760484569656,0.2066771881410742,0.2185050150468174,0.2202123736821792,0.2296990969641978,0.2395249225083216,0.0040205086355973,0.0007338933380782,-0.0023510074641296,-0.0030076024023283,0.21203054556369239,0.01144738489959827,0.22010582928504907,0.011978749087785824,0.22474301347885506,0.012111918164155796,0.2434677935833264,0.03467284623118497,77.31294132874744,-0.6516328985538014,3,6,2,3,0.1824400430517846
2019-06-21,1889.9176025390625,-0.012335184579619,0.1824400430517846,0.1836941606563996,0.1942760484569656,0.2066771881410742,0.2204821024914255,0.2288718697419613,0.2429981134580211,0.0079868904061697,0.0040205086355973,0.0007338933380782,0.0001774818300317,0.20472690295853643,0.015759623297312276,0.21550533565426924,0.016033116001519028,0.22195147538625895,0.014686052200937993,0.24213917242618224,0.03541506769870554,75.71497417207573,0.8478144090168943,4,6,2,3,0.1812248595442812
2019-06-24,1911.46337890625,0.0114003786928282,0.1812248595442812,0.1824400430517846,0.1836941606563996,0.1942760484569656,0.2185050150468174,0.2317033595944795,0.2360293358867539,-0.012335184579619,0.0079868904061697,0.0040205086355973,-0.0023510074641296,0.19711849107060828,0.015431307954876653,0.21086215298525154,0.018295734678562908,0.2189235718659471,0.016275184164462945,0.2413349295817601,0.036218169875096,63.24715299854481,-1.3887684429740925,0,6,2,4,0.1839822094678798
2019-06-25,1904.99560546875,-0.0033836763543965,0.1839822094678798,0.1812248595442812,0.1824400430517846,0.1836941606563996,0.2066771881410742,0.231778264436017,0.2352674674956063,0.0114003786928282,-0.012335184579619,0.0079868904061697,0.0007338933380782,0.18966245997010106,0.010837010395445736,0.20581430298023173,0.018861514431070127,0.2161833480488235,0.017786985172154015,0.24048784526273537,0.03702439642304054,60.32268007045663,-1.2958313625398081,1,6,2,4,0.1877416145830834
2019-06-26,1893.5709228515625,-0.0059972225575692,0.1877416145830834,0.1839822094678798,0.1812248595442812,0.1824400430517846,0.1942760484569656,0.2188529742953731,0.2241164940349032,-0.0033836763543965,0.0114003786928282,-0.012335184579619,0.0040205086355973,0.18512346423546217,0.005232471616849105,0.201034697483418,0.017562198246689007,0.2136190851474372,0.018570436061931837,0.23961185540233917,0.03773431258698581,69.74374261121716,-0.9085848411468135,2,6,2,4,0.1834109817027377
2019-06-27,1892.1851806640625,-0.0007318142514636,0.1834109817027377,0.1877416145830834,0.1839822094678798,0.1812248595442812,0.1836941606563996,0.2202123736821792,0.2304623232402623,-0.0059972225575692,-0.0033836763543965,0.0114003786928282,0.0079868904061697,0.18381657746068572,0.0024525591218732116,0.19792356151218904,0.01679385026145326,0.2118003411748462,0.019256785696390256,0.2388039379007831,0.03832259437971821,70.86701008288938,0.12767163223018013,3,6,2,4,0.1823205808739207
2019-06-28,1870.8902587890625,-0.0112541426138463,0.1823205808739207,0.1834109817027377,0.1877416145830834,0.1839822094678798,0.1824400430517846,0.2204821024914255,0.2341462868962462,-0.0007318142514636,-0.0059972225575692,-0.0033836763543965,-0.012335184579619,0.18375994166995333,0.0024593530127895633,0.1942434223142449,0.015335833995548427,0.20944777409796997,0.01972528010791704,0.23834549753092543,0.03882310248839642,67.96056662437063,-0.2756085515930151,4,6,2,4,0.1651227735645479
2019-07-01,1881.2650146484373,0.0055453577838873,0.1651227735645479,0.1823205808739207,0.1834109817027377,0.1877416145830834,0.1812248595442812,0.2185050150468174,0.2078976909206717,-0.0112541426138463,-0.0007318142514636,-0.0059972225575692,0.0114003786928282,0.18373604923438056,0.0024759059888550075,0.19042727015249442,0.01258193535901367,0.20685648879685367,0.019714034166062152,0.23812419421821177,0.03910770326149801,48.75472060100579,0.276783689563715,0,7,3,1,0.1494989372813582
2019-07-02,1891.8072509765625,0.0056038018280455,0.1494989372813582,0.1651227735645479,0.1823205808739207,0.1834109817027377,0.1839822094678798,0.2066771881410742,0.2158974696224853,0.0055453577838873,-0.0112541426138463,-0.0007318142514636,-0.0033836763543965,0.18051563203843388,0.008843259647669103,0.18508904600426745,0.010497286924921622,0.20471774292904749,0.021804579343267433,0.23752487544170306,0.039951423830127446,45.95412246433779,-0.8739260692489721,1,7,3,1,0.1342962922190812
2019-07-03,1879.6683349609373,-0.0064165712491898,0.1342962922190812,0.1494989372813582,0.1651227735645479,0.1823205808739207,0.1877416145830834,0.1942760484569656,0.2274618726633388,0.0056038018280455,0.0055453577838873,-0.0112541426138463,-0.0059972225575692,0.17361897760112957,0.01600790388546926,0.17937122091829588,0.012760224727684281,0.2013978163119911,0.024854360921772185,0.23718721649919375,0.04061399514265244,47.38412252440924,-0.9509764978111012,2,7,3,1,0.1299752678104758
2019-07-04,1883.8690185546875,0.0022348004249574,0.1299752678104758,0.1342962922190812,0.1494989372813582,0.1651227735645479,0.1834109817027377,0.1836941606563996,0.2296990969641978,-0.0064165712491898,0.0056038018280455,0.0055453577838873,-0.0007318142514636,0.16292991312832913,0.02121648039283836,0.17337324529450743,0.017997679521276705,0.19673953728977825,0.028215648992129413,0.23660204534465962,0.04184152488440491,45.322535327658805,-1.7745948705827161,3,7,3,1,0.1835340906764775
2019-07-05,1817.045166015625,-0.035471602261568,0.1835340906764775,0.1299752678104758,0.1342962922190812,0.1494989372813582,0.1823205808739207,0.1824400430517846,0.2288718697419613,0.0022348004249574,-0.0064165712491898,0.0056038018280455,-0.0112541426138463,0.15224277034987677,0.021771630251772214,0.16800135600991506,0.02211972328612644,0.19175334583209214,0.030779544739471403,0.23533463197726848,0.043885388352138614,46.7165528898925,2.6078774499028228,4,7,3,1,0.1638813170024309
2019-07-08,1827.3775634765625,0.0056863734893251,0.1638813170024309,0.1835340906764775,0.1299752678104758,0.1342962922190812,0.1651227735645479,0.1812248595442812,0.2317033595944795,-0.035471602261568,0.0022348004249574,-0.0064165712491898,0.0055453577838873,0.15248547231038811,0.022193428396335025,0.16811076077238435,0.022201626299293953,0.18948645687881796,0.029546771789601804,0.2348408138739798,0.04430380528798871,33.09779278441454,0.6353571442002507,0,7,3,2,0.170634497354615
